#               T,              Va,              az,               q,              Vz,               h,      delta_th_c,       delta_e_c
206.6200, 230.000488281250000, 0.000008413712749, 0.000025785171601, -2.477255105972290, 10500.374023437500000, 1.810060817017582, 0.009241779362789
206.6400, 230.000488281250000, 0.000008414538570, 0.000025785366233, -2.477254867553711, 10500.423828125000000, 1.810060321587544, 0.009241493549362
206.6600, 230.000488281250000, 0.000008415366210, 0.000025785559046, -2.477254629135132, 10500.472656250000000, 1.810059826153551, 0.009241207733672
206.6800, 230.000488281250000, 0.000008416215678, 0.000025785751859, -2.477254629135132, 10500.522460937500000, 1.810059322312787, 0.009240921915947
206.7000, 230.000488281250000, 0.000008417092431, 0.000025785942853, -2.477254390716553, 10500.572265625000000, 1.810058835294114, 0.009240635953233
206.7200, 230.000488281250000, 0.000008418007383, 0.000025786135666, -2.477254152297974, 10500.621093750000000, 1.810058331459192, 0.009240350128732
206.7400, 230.000488281250000, 0.000008419035112, 0.000025786326660, -2.477253913879395, 10500.670898437500000, 1.810057836013431, 0.009240064449327
206.7600, 230.000488281250000, 0.000008420109225, 0.000025786519473, -2.477253913879395, 10500.720703125000000, 1.810057340553804, 0.009239778621659
206.7800, 230.000473022460938, 0.000008421102393, 0.000025786714104, -2.477253675460815, 10500.770507812500000, 1.810056845088106, 0.009239492791676
206.8000, 230.000473022460938, 0.000008422049177, 0.000025786906917, -2.477253437042236, 10500.819335937500000, 1.810056372198515, 0.009239206817948
206.8200, 230.000473022460938, 0.000008422999599, 0.000025787101549, -2.477253437042236, 10500.869140625000000, 1.810055917775610, 0.009238921125490
206.8400, 230.000473022460938, 0.000008424040971, 0.000025787294362, -2.477253198623657, 10500.918945312500000, 1.810055487806600, 0.009238635289903
206.8600, 230.000473022460938, 0.000008425052329, 0.000025787487175, -2.477252960205078, 10500.968750000000000, 1.810055080011634, 0.009238349310057
206.8800, 230.000473022460938, 0.000008426050954, 0.000025787681807, -2.477252721786499, 10501.017578125000000, 1.810054692218975, 0.009238063611715
206.9000, 230.000473022460938, 0.000008427128705, 0.000025787874620, -2.477252721786499, 10501.067382812500000, 1.810054322385939, 0.009237777626862
206.9200, 230.000473022460938, 0.000008428176443, 0.000025788067433, -2.477252483367920, 10501.117187500000000, 1.810053960187590, 0.009237491927470
206.9400, 230.000473022460938, 0.000008429272384, 0.000025788262064, -2.477252244949341, 10501.166992187500000, 1.810053620552632, 0.009237206077329
206.9600, 230.000473022460938, 0.000008430311027, 0.000025788456696, -2.477252006530762, 10501.215820312500000, 1.810053301761854, 0.009236920086364
206.9800, 230.000473022460938, 0.000008431325114, 0.000025788651328, -2.477252006530762, 10501.265625000000000, 1.810052976976063, 0.009236634377080
207.0000, 230.000473022460938, 0.000008432411050, 0.000025788844141, -2.477251768112183, 10501.315429687500000, 1.810052678253083, 0.009236348523326
207.0200, 230.000473022460938, 0.000008433453331, 0.000025789038773, -2.477251529693604, 10501.365234375000000, 1.810052378952363, 0.009236062524573
207.0400, 230.000473022460938, 0.000008434471965, 0.000025789231586, -2.477251529693604, 10501.414062500000000, 1.810052086129510, 0.009235776666168
207.0600, 230.000473022460938, 0.000008435570635, 0.000025789426218, -2.477251291275024, 10501.463867187500000, 1.810051798531823, 0.009235490805875
207.0800, 230.000473022460938, 0.000008436705684, 0.000025789620850, -2.477251052856445, 10501.513671875000000, 1.810051514985131, 0.009235204943593
207.1000, 230.000473022460938, 0.000008437832548, 0.000025789815481, -2.477250814437866, 10501.562500000000000, 1.810051234410322, 0.009234919222036
207.1200, 230.000473022460938, 0.000008438922123, 0.000025790011932, -2.477250814437866, 10501.612304687500000, 1.810050955782764, 0.009234633212907
207.1400, 230.000473022460938, 0.000008439898011, 0.000025790208383, -2.477250576019287, 10501.662109375000000, 1.810050678186396, 0.009234347490022
207.1600, 230.000473022460938, 0.000008440882084, 0.000025790404834, -2.477250337600708, 10501.711914062500000, 1.810050392324504, 0.009234061615602
